Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Schweizer, Claudia, 1971-10-23, F, FUSSBALL
Decker, Lena, 1922-12-26, F, SCHWIMMEN
Wurfel, Marina, 1952-03-29, F, HANDBALL
Wirth, Rene, 1947-09-16, M, FUSSBALL
Moeller, Katrin, 1965-01-09, F, HANDBALL
Herz, Niklas, 1996-10-03, M, TANZEN
Moench, Dirk, 1991-11-10, M, TURNEN
Vogler, Marco, 1990-01-18, M, LEICHTATHLETIK
Jager, Ralph, 1961-10-18, M, TURNEN
Koertig, Martin, 1932-02-20, M, TANZEN
Faerber, Kathrin, 1980-07-12, F, FECHTEN
Friedmann, Sandra, 1929-05-21, F, LEICHTATHLETIK
Eichelberger, Antje, 1995-10-19, F, FECHTEN
Friedman, Monika, 1988-01-21, F, HANDBALL
Bieber, Annett, 1987-04-13, F, TANZEN
Pfeffer, Joerg, 1984-05-02, M, REITEN
Bader, Christin, 1994-03-18, F, RUDERN
Lehmann, Stephan, 1948-09-21, M, SCHWIMMEN
Koertig, Laura, 1967-03-07, F, RUDERN
Papst, Phillipp, 1999-02-05, M, TURNEN
Mahler, Mandy, 1956-07-26, F, TURNEN
Ackerman, Felix, 1982-08-27, M, LEICHTATHLETIK
Klein, Brigitte, 1929-12-05, F, RADSPORT
Lange, Lisa, 1926-09-03, F, FUSSBALL
Ostermann, Karolin, 1926-04-26, F, RUDERN
Engel, Alexander, 1960-05-29, M, LEICHTATHLETIK
Shuster, Lukas, 1920-10-07, M, HANDBALL
Brandt, Tim, 1929-12-04, M, RADSPORT
Ebersbach, Leah, 1990-12-31, F, SCHWIMMEN
Metzger, Ute, 1976-11-20, F, TURNEN
Koch, Vanessa, 1971-02-22, F, SCHWIMMEN
Weiss, Martin, 1969-08-30, M, LEICHTATHLETIK
Baumgaertner, Mathias, 1955-11-07, M, REITEN
Schwab, Julia, 1946-07-13, F, TANZEN
Frei, Sebastian, 1954-01-31, M, FUSSBALL
Blau, Katja, 1996-06-28, F, LEICHTATHLETIK
Schneider, Tanja, 1920-10-22, F, HANDBALL
Bauer, Ralf, 1943-06-14, M, TURNEN
Egger, Christian, 1964-12-14, M, TURNEN
Eichel, Lucas, 1998-07-14, M, REITEN
Scherer, Brigitte, 1990-05-14, F, RUDERN
Faber, Bernd, 1993-08-27, M, RADSPORT
Strauss, Simone, 1980-10-14, F, RUDERN
Saenger, Antje, 1981-05-06, F, RADSPORT
Schmid, Jessika, 1930-09-08, F, FUSSBALL
Gloeckner, Paul, 1974-12-30, M, RUDERN
Meyer, Sabrina, 1963-10-15, F, TURNEN
Dreher, Jennifer, 1965-11-10, F, SCHWIMMEN
Abend, Ralph, 1940-08-19, M, FECHTEN
Holzman, Simone, 1972-01-09, F, TURNEN
Becker, Ulrike, 1961-11-28, F, TANZEN
Sankt, Angelika, 1971-07-12, F, FECHTEN
Naumann, Barbara, 1927-02-24, F, FUSSBALL
Scholz, Ute, 1950-12-09, F, RADSPORT
Schulz, Barbara, 1982-09-20, F, TURNEN
Kuster, Stephanie, 1955-11-27, F, TURNEN
Meyer, Uta, 1942-08-25, F, HANDBALL
Rothschild, Brigitte, 1993-10-09, F, FECHTEN
Konig, Marco, 1953-09-16, M, RADSPORT
Adler, Leah, 1958-02-24, F, FUSSBALL
Dreher, Steffen, 1990-10-27, M, TURNEN
Schwarz, Jessika, 1974-08-13, F, SCHWIMMEN
Hahn, Luca, 1964-07-08, M, RADSPORT
Jaeger, Ralph, 1952-10-18, M, FUSSBALL
Eichmann, Rene, 1917-09-30, M, REITEN
Luft, Stefanie, 1947-09-21, F, TANZEN
Boehm, Maximilian, 1930-03-27, M, TANZEN
Kohl, Ralf, 1939-06-29, M, LEICHTATHLETIK
Ackerman, Janina, 1995-12-27, F, FUSSBALL
Hirsch, Ulrike, 1921-01-09, F, RUDERN
Neustadt, Brigitte, 1970-12-15, F, REITEN
Foerster, Max, 1926-05-22, M, RADSPORT
Eichel, Paul, 1942-11-20, M, TURNEN
Fenstermacher, Kristin, 1931-12-24, F, TURNEN
Shuster, Sara, 1923-12-25, F, REITEN
Wexler, Dirk, 1963-10-24, M, FECHTEN
Propst, Martin, 1949-01-08, M, FECHTEN
Beike, Ralph, 1943-01-02, M, RADSPORT
Hoffmann, Stephan, 1935-07-05, M, TANZEN
Bohm, Luca, 1939-05-03, M, TURNEN
Jaeger, Sarah, 1944-09-26, F, TANZEN
Faust, Manuela, 1978-05-11, F, FUSSBALL
Zimmer, Stefan, 1943-08-02, M, SCHWIMMEN
Koenig, Silke, 1934-03-09, F, RUDERN
Fassbinder, Marko, 1939-12-18, M, TURNEN
Reinhard, Dominik, 1991-01-18, M, SCHWIMMEN
Diederich, Annett, 1926-10-25, F, LEICHTATHLETIK
Freud, Vanessa, 1977-08-29, F, HANDBALL
Loewe, Stefanie, 1926-01-30, F, FECHTEN
Kaufmann, Jonas, 1927-11-09, M, RADSPORT
Schroeder, Paul, 1930-06-22, M, SCHWIMMEN
Faerber, Christine, 1959-04-07, F, REITEN
Grunwald, Christine, 1926-03-23, F, FECHTEN
Kirsch, Katharina, 1936-01-09, F, TURNEN
Braun, Antje, 1954-04-24, F, TURNEN
Wexler, Heike, 1983-09-18, F, TURNEN
Schaefer, Ulrike, 1949-12-25, F, TURNEN
Wulf, Kathrin, 1924-06-03, F, TANZEN
Baecker, Felix, 1960-03-09, M, RUDERN
Koch, Lena, 1948-03-23, F, FUSSBALL
Beyer, Maximilian, 1974-08-17, M, SCHWIMMEN
Grunwald, Luca, 1958-06-03, M, SCHWIMMEN
Richter, Michelle, 1925-08-05, F, FECHTEN
Aachen, Sophia, 1950-02-26, F, LEICHTATHLETIK
Hofmann, Bernd, 1982-01-25, M, FECHTEN
Bumgarner, Melanie, 1930-11-18, F, HANDBALL
Fiedler, Christine, 1951-01-01, F, RADSPORT
Klein, Marcel, 1925-05-26, M, SCHWIMMEN
Fenstermacher, Diana, 1978-09-11, F, SCHWIMMEN
Hoch, Kevin, 1940-01-15, M, FUSSBALL
Meister, Lena, 1980-04-12, F, LEICHTATHLETIK
Moeller, Stephanie, 1921-03-08, F, SCHWIMMEN
Werfel, Michael, 1935-03-29, M, REITEN
Naumann, Mario, 1935-01-03, M, RADSPORT
Schulze, Christian, 1927-04-05, M, FECHTEN
Kortig, Matthias, 1957-12-22, M, LEICHTATHLETIK
Krueger, Phillipp, 1972-04-28, M, TANZEN
Beyer, Angelika, 1934-07-30, F, FECHTEN
Naumann, Ulrich, 1932-07-20, M, TANZEN
Pfeifer, Yvonne, 1964-10-30, F, HANDBALL
Wannemaker, Manuela, 1919-11-20, F, HANDBALL
Fischer, Maximilian, 1986-01-21, M, LEICHTATHLETIK
Metzger, Christina, 1973-09-18, F, RUDERN
Kohl, Mike, 1937-12-06, M, LEICHTATHLETIK
Werner, Leonie, 1926-09-01, F, RADSPORT
Kaiser, Rene, 1969-07-29, M, HANDBALL
Kuster, Phillipp, 1972-10-13, M, TANZEN
Beckenbauer, Maik, 1917-11-18, M, HANDBALL
Kaiser, Diana, 1950-10-04, F, REITEN
Ackermann, Antje, 1993-09-15, F, RUDERN
Wannemaker, Joerg, 1949-04-22, M, SCHWIMMEN
Gaertner, Mike, 1996-11-17, M, HANDBALL
Ebersbacher, Christian, 1985-10-19, M, REITEN
Lange, Diana, 1959-09-21, F, RADSPORT
Ebersbach, Mathias, 1952-01-10, M, TANZEN
Wirth, Birgit, 1992-03-01, F, FUSSBALL
Gaertner, Stephan, 1973-06-04, M, LEICHTATHLETIK
Jaeger, Tim, 1962-03-27, M, TURNEN
Egger, Nicole, 1968-12-09, F, REITEN
Waechter, Max, 1962-02-02, M, LEICHTATHLETIK
Kuester, Martin, 1940-09-16, M, LEICHTATHLETIK
Seiler, Tanja, 1981-05-21, F, RUDERN
Klug, Dieter, 1954-01-24, M, TANZEN
Schmidt, Ulrich, 1951-03-07, M, SCHWIMMEN
Schmidt, Stephan, 1989-03-29, M, TURNEN
Schultz, Alexander, 1985-07-17, M, TURNEN
Kappel, Lea, 1993-11-03, F, SCHWIMMEN
Diederich, Nicole, 1936-06-08, F, FUSSBALL
Gersten, Tim, 1967-05-01, M, LEICHTATHLETIK
Loewe, Ines, 1984-02-16, F, SCHWIMMEN
Amsel, Thomas, 1944-01-28, M, REITEN
Schreiner, Sandra, 1946-07-08, F, SCHWIMMEN
Schaefer, Lucas, 1935-09-23, M, TANZEN
Gerber, Katharina, 1996-09-17, F, REITEN
Feierabend, Jens, 1971-02-14, M, TANZEN
Pabst, Yvonne, 1940-02-17, F, SCHWIMMEN
Eiffel, Marina, 1974-01-10, F, SCHWIMMEN
Richter, Thomas, 1995-11-12, M, TURNEN
Wurfel, Klaudia, 1951-01-24, F, TURNEN
Blau, Annett, 1979-09-14, F, TURNEN
Fassbinder, Maximilian, 1985-02-05, M, FECHTEN
Koehler, Felix, 1982-01-13, M, LEICHTATHLETIK
Pfeiffer, Lucas, 1979-07-18, M, HANDBALL
Fischer, Erik, 1974-02-01, M, FECHTEN
Farber, Leon, 1975-11-26, M, RADSPORT
Neudorf, Torsten, 1932-11-29, M, TANZEN
Schulz, Kevin, 1931-12-22, M, TURNEN
Walter, Kathrin, 1942-03-19, F, SCHWIMMEN
Shuster, Monika, 1945-05-25, F, FECHTEN
Finkel, Johanna, 1992-01-08, F, LEICHTATHLETIK
Friedman, Tim, 1977-08-24, M, TURNEN
Ebersbach, Jens, 1978-06-03, M, LEICHTATHLETIK
Sanger, Ralf, 1954-11-12, M, HANDBALL
Eggers, Christina, 1933-05-18, F, LEICHTATHLETIK
Diederich, Phillipp, 1977-09-19, M, LEICHTATHLETIK
Bach, Karin, 1988-09-23, F, RADSPORT
Faber, Stefan, 1986-12-28, M, TURNEN
Pfaff, Frank, 1921-05-19, M, TANZEN
Weissmuller, Tom, 1974-06-05, M, TANZEN
Gottlieb, Christine, 1987-07-13, F, RADSPORT
Eberhart, Dieter, 1993-06-04, M, TANZEN
Eichelberger, Peter, 1933-01-02, M, LEICHTATHLETIK
Fruehauf, Sebastian, 1978-02-04, M, TURNEN
Schreiber, Mathias, 1950-04-03, M, SCHWIMMEN
Amsel, Monika, 1918-04-22, F, REITEN
Aachen, Klaudia, 1974-08-23, F, TANZEN
Schwartz, Monika, 1981-03-03, F, REITEN
Moeller, Peter, 1938-10-13, M, RADSPORT
Wexler, Dirk, 1949-04-23, M, TURNEN
Moench, Klaus, 1944-02-20, M, FECHTEN
Zimmerman, Sabrina, 1951-11-13, F, REITEN
Unger, Martina, 1944-06-20, F, TANZEN
Friedmann, Sebastian, 1928-10-11, M, REITEN
Scherer, Janina, 1978-02-28, F, LEICHTATHLETIK
Farber, Lena, 1985-01-24, F, FUSSBALL
Faber, Ralf, 1982-09-14, M, FECHTEN
Busch, Katrin, 1959-12-13, F, RADSPORT
Ackerman, Simone, 1934-05-16, F, TANZEN
Ritter, Leonie, 1987-09-02, F, SCHWIMMEN
Becker, Daniel, 1933-11-27, M, REITEN
Pfaff, Johanna, 1982-09-03, F, TURNEN
Schmidt, Robert, 1925-11-28, M, HANDBALL
Jung, Monika, 1920-06-21, F, LEICHTATHLETIK
Adler, Klaus, 1963-05-28, M, FECHTEN
Fisher, Eric, 1961-02-23, M, RUDERN
Gerber, Stephanie, 1922-09-05, F, REITEN
Gruenewald, Lea, 1921-10-20, F, TURNEN
Eisenhauer, Barbara, 1971-03-31, F, FECHTEN
Frey, Jennifer, 1998-11-05, F, LEICHTATHLETIK
Unger, Ralph, 1941-10-23, M, FUSSBALL
Austerlitz, Dirk, 1943-05-27, M, RADSPORT
Ehrlichmann, Florian, 1938-01-08, M, LEICHTATHLETIK
Fiedler, Vanessa, 1930-02-28, F, TURNEN
Saenger, Jessika, 1990-12-03, F, SCHWIMMEN
Schroder, Steffen, 1971-12-09, M, REITEN
Himmel, Patrick, 1933-05-13, M, TANZEN
Werfel, Sara, 1957-08-13, F, HANDBALL
Brandt, Tim, 1943-03-24, M, RADSPORT
Hofmann, Jonas, 1930-03-24, M, FUSSBALL
Richter, Anke, 1979-11-28, F, REITEN
Moench, Mario, 1918-09-16, M, SCHWIMMEN
Ostermann, Frank, 1937-06-25, M, SCHWIMMEN
Fink, Gabriele, 1948-08-02, F, SCHWIMMEN
Eiffel, Gabriele, 1972-11-02, F, FUSSBALL
Muller, Laura, 1973-05-23, F, REITEN
Schwab, Daniela, 1947-05-08, F, FECHTEN
Eichel, Marco, 1987-12-23, M, TURNEN
Gaertner, Heike, 1971-12-27, F, TANZEN
Meier, Maria, 1966-01-30, F, TURNEN
Koenig, Ulrike, 1948-01-03, F, RUDERN
Muench, Antje, 1922-02-28, F, TANZEN
Sankt, Patrick, 1937-08-06, M, RUDERN
Propst, Christin, 1920-09-12, F, TANZEN
Koenig, Jessica, 1926-07-24, F, HANDBALL
Klein, Sabine, 1939-09-05, F, SCHWIMMEN
Hertz, Sara, 1945-03-31, F, FECHTEN
Eisenhauer, Lea, 1992-01-07, F, FECHTEN
Bieber, Tobias, 1949-09-09, M, RUDERN
Brauer, Marco, 1940-06-06, M, RUDERN
Wolf, Sven, 1919-04-29, M, SCHWIMMEN
Fassbinder, Annett, 1935-09-30, F, REITEN
Lemann, Mathias, 1977-12-28, M, RUDERN
Hoch, Anja, 1957-07-18, F, SCHWIMMEN
Muller, Jessica, 1936-03-18, F, RUDERN
Ebersbach, Marie, 1969-09-22, F, FUSSBALL
Weiss, Yvonne, 1961-01-17, F, HANDBALL
Werfel, Alexander, 1943-09-27, M, RADSPORT
Kuster, Philipp, 1951-06-12, M, FUSSBALL
Holtzmann, Thorsten, 1929-03-12, M, REITEN
Schiffer, Anna, 1956-03-11, F, RUDERN
Vogt, Ralph, 1974-12-22, M, RADSPORT
Herrmann, Julia, 1933-12-04, F, LEICHTATHLETIK
Biermann, Brigitte, 1942-05-05, F, FUSSBALL
Luft, Martin, 1937-09-11, M, SCHWIMMEN
Frankfurter, Max, 1926-06-06, M, SCHWIMMEN
Daecher, Kerstin, 1930-05-11, F, TANZEN
Brandt, Diana, 1995-11-06, F, SCHWIMMEN
Fuerst, Nicole, 1997-08-25, F, RUDERN
Frankfurter, Alexander, 1997-08-13, M, RUDERN
Shuster, Steffen, 1936-12-04, M, SCHWIMMEN
Schroeder, Vanessa, 1946-09-11, F, SCHWIMMEN
Eberhart, Alexander, 1923-03-12, M, SCHWIMMEN
Baader, Dieter, 1919-02-09, M, FUSSBALL
Schmitz, Ulrich, 1975-10-30, M, TURNEN
Schulze, Antje, 1993-06-17, F, SCHWIMMEN
Reiniger, Joerg, 1926-05-07, M, FUSSBALL
Kuefer, Maik, 1950-11-27, M, RADSPORT
Trommler, Florian, 1985-07-18, M, TANZEN
Hofmann, Marco, 1988-08-16, M, LEICHTATHLETIK
Aachen, Doreen, 1987-01-10, F, FECHTEN
Vogler, Sven, 1985-07-24, M, RUDERN
Hertz, Felix, 1996-12-26, M, REITEN
Koenig, Dirk, 1958-11-10, M, FECHTEN
Schwartz, Jessica, 1968-01-17, F, TURNEN
Keller, Dieter, 1924-06-09, M, REITEN
Abendroth, Anna, 1946-03-08, F, RUDERN
Muller, Klaudia, 1947-03-04, F, TURNEN
Mehler, Sophie, 1978-11-10, F, TANZEN
Lange, Eric, 1969-11-13, M, RADSPORT
Gerste, Karolin, 1981-08-17, F, TANZEN
Koenig, Marko, 1979-10-11, M, TANZEN
Bar, Thomas, 1924-02-02, M, HANDBALL
Baumgartner, Katrin, 1956-06-01, F, FUSSBALL
Richter, Eric, 1944-12-12, M, RUDERN
Wirth, Daniel, 1925-07-02, M, SCHWIMMEN
Maier, Robert, 1924-02-27, M, RUDERN
Bachmeier, Klaus, 1937-06-28, M, TANZEN
Loewe, Joerg, 1939-06-03, M, LEICHTATHLETIK
Fenstermacher, Anna, 1965-10-08, F, RADSPORT
Duerr, Mike, 1966-12-18, M, SCHWIMMEN
Lang, Peter, 1964-06-29, M, FECHTEN
Vogt, Robert, 1930-09-22, M, LEICHTATHLETIK
Ackerman, Alexander, 1997-09-20, M, TANZEN
Furst, Kerstin, 1979-05-06, F, FUSSBALL
Hertz, Andreas, 1953-05-23, M, TANZEN
Kluge, Janina, 1958-04-02, F, SCHWIMMEN
Decker, Daniel, 1943-01-15, M, HANDBALL
Fuerst, Robert, 1944-02-23, M, RADSPORT
Schmitz, Katrin, 1982-08-05, F, RUDERN
Braun, Anke, 1948-06-08, F, FUSSBALL
Neudorf, Nicole, 1962-06-28, F, RUDERN
Cole, Torsten, 1960-03-02, M, FUSSBALL
Fassbinder, Jennifer, 1924-04-09, F, RADSPORT
Lowe, Christin, 1959-11-13, F, TURNEN
Bieber, David, 1930-10-27, M, SCHWIMMEN
Dietrich, Felix, 1928-09-27, M, RADSPORT
Bayer, Annett, 1958-10-30, F, RADSPORT
Meyer, Mike, 1944-06-10, M, RUDERN
Eisenhauer, Anna, 1997-12-25, F, SCHWIMMEN
Theiss, Luca, 1983-10-23, M, FECHTEN
Eichelberger, Mike, 1953-10-28, M, SCHWIMMEN
Saenger, Melanie, 1995-11-10, F, RADSPORT
Herz, Jan, 1935-03-13, M, RADSPORT
Meier, Matthias, 1957-02-20, M, FUSSBALL
Drechsler, Katrin, 1969-07-28, F, TANZEN
Drechsler, Thomas, 1923-03-01, M, TURNEN
Junker, Sabrina, 1980-03-14, F, LEICHTATHLETIK
Weber, Laura, 1962-09-06, F, TANZEN
Schmitz, Doreen, 1958-10-31, F, TANZEN
Weiss, Jens, 1956-10-23, M, TURNEN
Fink, Christin, 1984-09-30, F, FUSSBALL
Dresdner, Sara, 1977-09-27, F, LEICHTATHLETIK
Braun, Sven, 1922-02-05, M, TURNEN
Burger, Daniel, 1971-07-21, M, TANZEN
Kaiser, Sabrina, 1925-07-26, F, TANZEN
Biermann, David, 1998-05-21, M, TURNEN
Weissmuller, Martin, 1991-09-25, M, RUDERN
Lehrer, Tim, 1939-04-06, M, HANDBALL
Frei, Johanna, 1934-06-09, F, HANDBALL
Peters, Antje, 1971-07-01, F, TANZEN
Maurer, Vanessa, 1974-05-16, F, TANZEN
Sommer, Mike, 1969-10-31, M, FUSSBALL
Pabst, Daniel, 1927-07-25, M, SCHWIMMEN
Mueller, Christina, 1942-07-23, F, FUSSBALL
Huber, Steffen, 1955-11-22, M, RUDERN
Pfeffer, Tom, 1938-12-23, M, RUDERN
Beckenbauer, Kerstin, 1994-09-12, F, TANZEN
Sankt, Juergen, 1946-11-30, M, LEICHTATHLETIK
Fisher, Michelle, 1932-10-07, F, TANZEN
Nagel, Ulrich, 1997-07-31, M, LEICHTATHLETIK
Friedman, Stephan, 1962-08-16, M, TANZEN
Luft, Karin, 1934-12-28, F, RADSPORT
Kaestner, Luca, 1935-02-01, M, HANDBALL
Lemann, Julia, 1982-02-13, F, LEICHTATHLETIK
Schweizer, Katrin, 1926-07-31, F, TURNEN
Keller, Andreas, 1923-11-29, M, TANZEN
Eichelberger, Peter, 1961-01-13, M, TURNEN
Schwarz, Leon, 1989-02-11, M, RADSPORT
Hofmann, Martin, 1921-08-27, M, FUSSBALL
Abt, Kristin, 1924-07-23, F, LEICHTATHLETIK
Ehrlichmann, Michael, 1994-01-10, M, RUDERN
Egger, Mathias, 1918-10-17, M, RADSPORT
Lange, Karin, 1969-11-01, F, REITEN
Dreher, Frank, 1957-07-21, M, RADSPORT
Weiss, Anne, 1995-01-04, F, RUDERN
Baum, Yvonne, 1930-10-22, F, REITEN
Dresner, Daniel, 1917-12-06, M, LEICHTATHLETIK
Waechter, Ralph, 1955-02-09, M, SCHWIMMEN
Brandt, Florian, 1979-02-20, M, RADSPORT
Zimmermann, Jan, 1996-08-17, M, LEICHTATHLETIK
Schiffer, Tim, 1923-03-10, M, FECHTEN
Nussbaum, Niklas, 1919-07-07, M, RUDERN
Bayer, Claudia, 1969-02-12, F, SCHWIMMEN
Weiss, Alexander, 1948-04-10, M, HANDBALL
Weiss, Silke, 1982-04-07, F, SCHWIMMEN
Weissmuller, Rene, 1992-07-05, M, SCHWIMMEN
Wexler, Mike, 1934-02-18, M, TURNEN
Faust, Nadine, 1927-05-14, F, LEICHTATHLETIK
Hoffmann, Stephan, 1946-11-22, M, REITEN
Hoffmann, Marko, 1933-12-28, M, LEICHTATHLETIK
Baumgartner, Sophia, 1964-02-05, F, LEICHTATHLETIK
Fuerst, Kristin, 1998-10-29, F, FUSSBALL
Aachen, Lea, 1938-07-31, F, SCHWIMMEN
Aachen, Christin, 1948-06-30, F, HANDBALL
Koertig, Janina, 1986-11-09, F, HANDBALL
Hoover, Melanie, 1944-01-04, F, TANZEN
Biermann, Jessica, 1972-01-30, F, FECHTEN
Abend, Peter, 1920-07-14, M, RUDERN
Schiffer, Joerg, 1982-05-23, M, TANZEN
Schulz, Michelle, 1999-01-08, F, RUDERN
Naumann, Lea, 1948-12-03, F, FECHTEN
Ackermann, Nicole, 1947-02-24, F, FECHTEN
Schreiner, Lisa, 1993-02-27, F, FECHTEN
Eisenhower, Daniela, 1919-11-11, F, TURNEN
Theiss, Tobias, 1950-07-22, M, TANZEN
Pabst, Andreas, 1997-02-06, M, REITEN
Kuster, Marcel, 1950-10-16, M, TANZEN
Frankfurter, Dirk, 1942-06-05, M, RADSPORT
Bergmann, Lukas, 1982-01-13, M, TANZEN
Zimmerman, Monika, 1971-12-09, F, REITEN
Baer, Martin, 1946-06-06, M, TANZEN
Saenger, Martina, 1937-07-25, F, RADSPORT
Krueger, Tom, 1965-06-23, M, RADSPORT
Lehmann, Jan, 1945-03-08, M, RADSPORT
Huber, Ulrike, 1933-11-11, F, HANDBALL
Nagel, Maria, 1959-09-10, F, TANZEN
Reinhardt, Sabrina, 1954-09-15, F, TURNEN
Busch, Antje, 1951-04-13, F, TURNEN
Moeller, Michelle, 1964-07-10, F, SCHWIMMEN
Mueller, Katrin, 1926-10-11, F, SCHWIMMEN
Buerger, Simone, 1998-03-05, F, RUDERN
Jager, Lukas, 1919-03-18, M, FECHTEN
Hertzog, Sophie, 1946-04-10, F, LEICHTATHLETIK
Berg, Stefanie, 1993-06-11, F, RUDERN
Mueller, Sophie, 1946-03-30, F, LEICHTATHLETIK
Weissmuller, Patrick, 1972-05-21, M, HANDBALL
Sankt, Lena, 1921-05-17, F, RADSPORT
Blau, Uta, 1959-12-23, F, SCHWIMMEN
Hoffmann, Manuela, 1947-10-06, F, SCHWIMMEN
Freud, Kristian, 1943-02-16, M, RADSPORT
Eichmann, Daniela, 1986-05-20, F, REITEN
Lang, Dennis, 1975-07-26, M, FUSSBALL
Abend, Daniela, 1921-05-27, F, FUSSBALL
Loewe, Paul, 1921-04-18, M, RADSPORT
Abend, Kerstin, 1965-06-12, F, RADSPORT
Zimmermann, Juliane, 1965-11-12, F, FUSSBALL
Nacht, Benjamin, 1922-06-09, M, FUSSBALL
Ebersbach, Birgit, 1919-05-26, F, REITEN
Rothschild, Thorsten, 1932-07-22, M, FECHTEN
Papst, Tim, 1954-12-28, M, TANZEN
Goldschmidt, Sabine, 1996-05-31, F, TURNEN
Beich, Mike, 1934-10-07, M, FECHTEN
Schwarz, Jennifer, 1933-03-28, F, SCHWIMMEN
Moeller, Uta, 1958-05-08, F, HANDBALL
Abend, Silke, 1932-03-15, F, RADSPORT
Papst, Maximilian, 1938-12-16, M, HANDBALL
Baumgartner, Christine, 1965-10-19, F, RADSPORT
Drechsler, Luca, 1991-06-19, M, REITEN
Hofmann, Sven, 1938-09-11, M, TURNEN
Wannemaker, Leah, 1986-11-01, F, RUDERN
Herzog, Florian, 1930-11-21, M, SCHWIMMEN
Theiss, Tom, 1933-04-27, M, TURNEN
Faust, Tom, 1924-07-13, M, REITEN
Boehm, Stephanie, 1998-02-05, F, RADSPORT
Hoover, Mathias, 1985-05-21, M, TANZEN
Wirtz, Mathias, 1941-03-24, M, FECHTEN
Naumann, Marko, 1992-08-26, M, SCHWIMMEN
Nacht, Paul, 1976-07-12, M, RUDERN
Abt, Mario, 1946-04-06, M, TURNEN
Loewe, Klaudia, 1966-05-27, F, SCHWIMMEN
Mueller, Klaus, 1978-02-04, M, FECHTEN
Ehrlichmann, Manuela, 1950-12-23, F, FUSSBALL
Holtzmann, Andrea, 1989-04-01, F, SCHWIMMEN
Faerber, Katja, 1960-08-12, F, REITEN
Grunwald, Simone, 1964-09-05, F, RUDERN
Kuster, Matthias, 1928-08-21, M, REITEN
Bar, Ursula, 1939-12-23, F, RUDERN
Gaertner, Dieter, 1990-01-25, M, SCHWIMMEN
Schroeder, Felix, 1994-08-03, M, RUDERN
Jager, Markus, 1958-08-16, M, TANZEN
Egger, Robert, 1968-02-29, M, SCHWIMMEN
Gersten, Benjamin, 1974-06-05, M, TURNEN
Beckenbauer, Juergen, 1977-06-20, M, FECHTEN
Eberhart, Mike, 1985-06-16, M, LEICHTATHLETIK
Brauer, Kevin, 1959-09-12, M, HANDBALL
Meister, Kevin, 1971-11-22, M, FECHTEN
Wirtz, Birgit, 1935-09-19, F, LEICHTATHLETIK
Fuerst, Lea, 1956-01-08, F, SCHWIMMEN
Hertzog, Robert, 1927-08-24, M, RUDERN
Sankt, Ursula, 1921-05-07, F, HANDBALL
Foerster, Franziska, 1978-08-21, F, HANDBALL
Baum, Dieter, 1952-09-05, M, HANDBALL
Pfaff, Eric, 1968-04-27, M, FECHTEN
Engel, Patrick, 1951-02-02, M, LEICHTATHLETIK
Reinhardt, Erik, 1969-01-10, M, LEICHTATHLETIK
Freeh, Jens, 1997-11-10, M, HANDBALL
Ritter, Karin, 1982-09-16, F, REITEN
Bumgarner, Kevin, 1955-11-18, M, FECHTEN
Goldschmidt, Yvonne, 1937-10-15, F, FECHTEN
Eichmann, Simone, 1929-02-26, F, FECHTEN
Peters, Paul, 1968-06-17, M, FECHTEN
Hofmann, Eric, 1992-03-27, M, FUSSBALL
Kuefer, Uta, 1998-01-03, F, REITEN
Burger, Melanie, 1961-05-11, F, LEICHTATHLETIK
Himmel, Lucas, 1931-08-30, M, RUDERN
Walter, Ralf, 1940-10-11, M, TANZEN
Krause, Klaudia, 1955-01-15, F, RUDERN
Meier, Susanne, 1973-05-14, F, FUSSBALL
Reinhard, Phillipp, 1940-12-29, M, TANZEN
Fisher, Vanessa, 1972-10-24, F, HANDBALL
Konig, Anna, 1958-01-22, F, TANZEN
Abendroth, Katrin, 1925-06-28, F, HANDBALL
Grunewald, Jan, 1996-01-13, M, FUSSBALL
Wulf, Luca, 1960-07-11, M, SCHWIMMEN
Vogt, Robert, 1946-04-10, M, REITEN
Weissmuller, Tom, 1917-07-16, M, FUSSBALL
Bieber, Lisa, 1945-01-13, F, FECHTEN
Cole, Jennifer, 1924-11-05, F, RADSPORT
Wannemaker, Patrick, 1988-12-28, M, TURNEN
Herman, Joerg, 1958-12-26, M, SCHWIMMEN
Pfeifer, Stephan, 1934-11-04, M, FECHTEN
Eisenhauer, Juergen, 1989-12-26, M, HANDBALL
Hirsch, Klaudia, 1925-08-22, F, REITEN
Finkel, Alexander, 1923-08-30, M, RUDERN
Kohler, Katharina, 1940-11-17, F, TURNEN
Koertig, Jessika, 1987-10-03, F, LEICHTATHLETIK
Kalb, Felix, 1973-02-02, M, LEICHTATHLETIK
Blau, Kristian, 1928-03-27, M, TURNEN
Nagel, Julia, 1983-02-28, F, REITEN
Traugott, Melanie, 1929-06-03, F, TANZEN
Holzman, Birgit, 1994-04-04, F, TANZEN
Weiss, Michelle, 1932-12-04, F, FUSSBALL
Faust, Sebastian, 1967-11-06, M, FECHTEN
Waechter, Jennifer, 1925-10-23, F, HANDBALL
Mahler, Joerg, 1994-01-28, M, RUDERN
Decker, Sarah, 1989-08-16, F, RADSPORT
Kaestner, Sarah, 1995-08-10, F, TURNEN
Metzger, Johanna, 1947-01-01, F, FECHTEN
