Abt, Andreas, 1944-01-02, M, REITEN
Reinhardt, Sabine, 1922-09-20, F, TANZEN
Richter, Stephan, 1952-10-20, M, LEICHTATHLETIK
Rothstein, Stefanie, 1982-10-20, F, RUDERN
Rothstein, Steffen, 1990-12-21, M, REITEN
Reinhard, Stephanie, 1943-01-24, F, FUSSBALL
Rothstein, Sara, 1933-03-24, F, FECHTEN
Richter, Sophia, 1959-12-26, F, LEICHTATHLETIK
Reiniger, Sabine, 1950-05-30, F, RADSPORT
Ritter, Swen, 1960-05-30, M, LEICHTATHLETIK
Richter, Stefanie, 1966-08-31, F, HANDBALL
Ritter, Tobias, 1972-09-01, M, FECHTEN
Roth, Tim, 1991-09-01, M, REITEN
Reinhardt, Tom, 1973-10-01, M, LEICHTATHLETIK
Reinhard, Thorsten, 1994-10-01, M, TANZEN
Rothstein, Torsten, 1944-02-05, M, FECHTEN
Reiniger, Tobias, 1922-03-05, M, RUDERN
Roth, Tanja, 1972-07-06, F, TURNEN
Rothschild, Torsten, 1934-05-11, M, RADSPORT
Reiniger, Torsten, 1965-05-11, M, SCHWIMMEN
Reinhardt, Thomas, 1971-05-11, M, HANDBALL
Richter, Tom, 1963-06-11, M, TURNEN
Richter, Thomas, 1995-11-12, M, TURNEN
Reiniger, Thorsten, 1957-08-17, M, RUDERN
Reiniger, Tom, 1997-02-21, M, RADSPORT
Rothschild, Thorsten, 1932-07-22, M, FECHTEN
Reiniger, Tobias, 1997-12-23, M, REITEN
Rothstein, Tanja, 1970-04-27, F, TANZEN
Ritter, Tobias, 1921-09-28, M, TANZEN
Reinhard, Torsten, 1931-10-28, M, FECHTEN
Roth, Tom, 1932-10-28, M, HANDBALL
Ritter, Ursula, 1929-01-07, F, FUSSBALL
Reinhardt, Ulrich, 1958-05-08, M, TANZEN
Ritter, Ulrich, 1930-10-09, M, RADSPORT
Rothschild, Ursula, 1988-04-13, F, FECHTEN
Rothstein, Uwe, 1958-12-15, M, FECHTEN
Reinhardt, Uwe, 1988-09-25, M, REITEN
Reiniger, Uwe, 1921-07-30, M, RUDERN
Rothstein, Vanessa, 1992-02-10, F, SCHWIMMEN
Reiniger, Vanessa, 1935-07-22, F, FECHTEN
Reiniger, Wolfgang, 1954-08-03, M, LEICHTATHLETIK
Richter, Wolfgang, 1991-12-31, M, TANZEN
Reinhard, Yvonne, 1937-03-07, F, RADSPORT
Reinhardt, Yvonne, 1956-12-14, F, RADSPORT
Ritter, Yvonne, 1918-03-18, F, REITEN
Reinhardt, Yvonne, 1971-09-19, F, SCHWIMMEN
Schmitz, Andrea, 1931-06-01, F, REITEN
Schulz, Anke, 1970-06-01, F, RADSPORT
Scholz, Anne, 1936-08-01, F, HANDBALL
Sankt, Anja, 1994-08-01, F, TANZEN
Schaefer, Anja, 1932-09-01, F, FUSSBALL
Sankt, Anna, 1970-09-01, F, REITEN
Schultheiss, Anke, 1989-11-02, F, FECHTEN
Schneider, Andrea, 1965-01-05, F, RADSPORT
Schroder, Anja, 1977-05-06, F, HANDBALL
Saenger, Antje, 1981-05-06, F, RADSPORT
Schultheiss, Antje, 1994-05-06, F, TURNEN
Schweizer, Anna, 1969-06-06, F, RADSPORT
Schaefer, Anja, 1992-06-06, F, RUDERN
Schaefer, Angelika, 1984-07-06, F, HANDBALL
Schwartz, Angelika, 1996-07-06, F, REITEN
Sanger, Andrea, 1935-11-07, F, RUDERN
Schaefer, Anne, 1947-11-07, F, REITEN
Scholz, Andreas, 1962-11-07, M, SCHWIMMEN
Schreiner, Andreas, 1964-11-07, M, RUDERN
Schulze, Andreas, 1976-11-07, M, TANZEN
Strauss, Andrea, 1958-12-07, F, REITEN
Schiffer, Angelika, 1967-12-07, F, HANDBALL
Shuster, Andreas, 1970-12-07, M, HANDBALL
Schultz, Andreas, 1979-12-07, M, HANDBALL
Schulz, Anke, 1985-12-07, F, HANDBALL
Schwab, Andreas, 1995-12-07, M, FUSSBALL
Schmidt, Alexander, 1941-03-11, M, TANZEN
Schiffer, Anna, 1956-03-11, F, RUDERN
Schultz, Antje, 1959-03-11, F, LEICHTATHLETIK
Schuhmacher, Anna, 1975-03-11, F, FUSSBALL
Shuster, Alexander, 1987-03-11, M, FUSSBALL
Schwab, Anne, 1952-04-11, F, HANDBALL
Schroeder, Anja, 1976-04-11, F, RUDERN
Schultheiss, Anna, 1983-04-11, F, LEICHTATHLETIK
Schreiber, Andreas, 1938-05-11, M, HANDBALL
Saenger, Angelika, 1981-05-11, F, FECHTEN
Saenger, Antje, 1922-07-12, F, RUDERN
Seiler, Anna, 1936-07-12, F, TURNEN
Schwartz, Antje, 1951-07-12, F, REITEN
Schulze, Anna, 1962-07-12, F, FECHTEN
Sankt, Angelika, 1971-07-12, F, FECHTEN
Strauss, Angelika, 1920-01-16, F, SCHWIMMEN
Scholz, Annett, 1975-01-16, F, SCHWIMMEN
Schneider, Anna, 1989-01-16, F, TURNEN
Saenger, Alexander, 1993-01-16, M, TURNEN
Saenger, Antje, 1925-02-16, F, LEICHTATHLETIK
Schwarz, Andrea, 1939-03-16, F, RUDERN
Schuhmacher, Angelika, 1981-03-16, F, TURNEN
Sanger, Andreas, 1985-03-16, M, RADSPORT
Schmitt, Annett, 1972-06-17, F, RUDERN
Schulze, Antje, 1993-06-17, F, SCHWIMMEN
Schultz, Anna, 1998-06-17, F, RADSPORT
Schultz, Alexander, 1985-07-17, M, TURNEN
Schreiner, Antje, 1928-12-18, F, REITEN
Schultheiss, Andrea, 1940-12-18, F, SCHWIMMEN
Schmidt, Andrea, 1971-12-18, F, RADSPORT
Schwarz, Angelika, 1923-01-21, F, TURNEN
Schweizer, Anja, 1992-01-21, F, REITEN
Shuster, Andreas, 1957-04-22, M, REITEN
Schreiber, Annett, 1959-04-22, F, LEICHTATHLETIK
Schuhmacher, Alexander, 1962-04-22, M, TANZEN
Schroeder, Anna, 1994-04-22, F, TANZEN
Scherer, Anja, 1922-05-22, F, FECHTEN
Schmid, Andreas, 1997-05-22, M, TANZEN
Schaefer, Anne, 1968-06-22, F, RADSPORT
Schwab, Annett, 1925-10-23, F, RUDERN
Schaefer, Andrea, 1938-10-23, F, REITEN
Sanger, Anja, 1949-10-23, F, HANDBALL
Schuster, Anke, 1962-10-23, F, FECHTEN
Schweitzer, Andrea, 1985-10-23, F, RADSPORT
Schulze, Alexander, 1936-11-23, M, REITEN
Schmitt, Antje, 1934-03-27, F, HANDBALL
Schultz, Alexander, 1984-03-27, M, RUDERN
Schuster, Antje, 1960-04-27, F, SCHWIMMEN
Schwartz, Alexander, 1997-04-27, M, RUDERN
Schroder, Andreas, 1920-07-28, M, RADSPORT
Schultheiss, Anja, 1917-09-28, F, TANZEN
Schmitz, Birgit, 1920-06-03, F, LEICHTATHLETIK
Schreiber, Benjamin, 1999-06-03, M, RADSPORT
Sanger, Birgit, 1973-04-08, F, RADSPORT
Schroder, Barbara, 1996-07-09, F, REITEN
Seiler, Barbara, 1951-08-09, F, RUDERN
Schmitz, Benjamin, 1958-08-09, M, SCHWIMMEN
Scherer, Benjamin, 1956-09-09, M, HANDBALL
Schreiber, Brigitte, 1989-09-09, F, REITEN
Schulz, Barbara, 1998-09-09, F, TANZEN
Schroeder, Barbara, 1976-05-14, F, LEICHTATHLETIK
Scherer, Brigitte, 1990-05-14, F, RUDERN
Schulz, Brigitte, 1930-07-14, F, LEICHTATHLETIK
Schaefer, Birgit, 1942-07-14, F, RADSPORT
Schreiber, Barbara, 1953-07-14, F, RUDERN
Schmid, Barbara, 1991-07-14, F, TANZEN
Schroeder, Bernd, 1922-10-15, M, SCHWIMMEN
Schmidt, Brigitte, 1942-10-15, F, HANDBALL
Strauss, Barbara, 1993-10-15, F, FUSSBALL
Schneider, Birgit, 1929-11-15, F, LEICHTATHLETIK
Shuster, Bernd, 1980-12-15, M, TANZEN
Schmidt, Brigitte, 1958-09-20, F, RUDERN
Schulz, Barbara, 1982-09-20, F, TURNEN
Strauss, Bernd, 1987-09-20, M, RUDERN
Schmitz, Benjamin, 1941-01-24, M, SCHWIMMEN
Schroeder, Birgit, 1942-01-24, F, TANZEN
Schroeder, Benjamin, 1987-01-24, M, FECHTEN
Schultz, Benjamin, 1970-03-24, M, FECHTEN
Sanger, Barbara, 1979-06-25, F, LEICHTATHLETIK
Schuhmacher, Birgit, 1917-08-25, F, FUSSBALL
Schweizer, Barbara, 1940-08-25, F, REITEN
Schwab, Birgit, 1980-11-26, F, REITEN
Schweizer, Birgit, 1941-12-26, F, FECHTEN
Schultz, Bernd, 1944-12-26, M, FECHTEN
Schulze, Barbara, 1952-01-29, F, TURNEN
Schroeder, Brigitte, 1933-06-30, F, FECHTEN
Schaefer, Birgit, 1994-10-31, F, FUSSBALL
Schuhmacher, Claudia, 1920-08-01, F, TANZEN
Schroder, Christina, 1923-08-01, F, LEICHTATHLETIK
Schultz, Christin, 1945-08-01, F, LEICHTATHLETIK
Schmidt, Christine, 1975-08-01, F, FECHTEN
Sommer, Claudia, 1989-08-01, F, SCHWIMMEN
Schmid, Christina, 1932-10-01, F, FUSSBALL
Saenger, Christian, 1997-10-01, M, REITEN
Schwartz, Christian, 1925-01-05, M, SCHWIMMEN
Schreiner, Claudia, 1984-03-05, F, RADSPORT
Schulze, Christian, 1927-04-05, M, FECHTEN
Schmid, Christin, 1929-04-05, F, TURNEN
Schmidt, Christian, 1949-04-05, M, REITEN
Schulz, Christian, 1946-11-07, M, REITEN
Scholz, Claudia, 1968-11-07, F, FUSSBALL
Schwab, Christian, 1977-11-07, M, SCHWIMMEN
Schroeder, Christine, 1981-11-07, F, HANDBALL
Schroeder, Christina, 1983-11-07, F, TANZEN
Schroeder, Christina, 1922-01-10, F, HANDBALL
Sanger, Christin, 1929-02-10, F, REITEN
Schuhmacher, Christian, 1955-02-10, M, FECHTEN
Schwab, Claudia, 1988-02-10, F, HANDBALL
Schaefer, Christina, 1966-06-11, F, FUSSBALL
Schroder, Claudia, 1974-06-11, F, FECHTEN
Shuster, Claudia, 1925-11-12, F, HANDBALL
Schroder, Christine, 1948-11-12, F, RUDERN
Shuster, Christina, 1995-11-12, F, RUDERN
Schreiber, Christina, 1940-02-16, F, TANZEN
Schultheiss, Christin, 1954-02-16, F, REITEN
Seiler, Claudia, 1979-02-16, F, SCHWIMMEN
Schwartz, Christina, 1936-04-16, F, RUDERN
Schaefer, Christine, 1990-04-16, F, FUSSBALL
Saenger, Christine, 1944-05-16, F, LEICHTATHLETIK
Seiler, Christin, 1946-05-16, F, SCHWIMMEN
Schwartz, Christin, 1967-05-16, F, LEICHTATHLETIK
Schreiber, Christina, 1932-07-17, F, TANZEN
Schultz, Christin, 1961-12-18, F, REITEN
Schulz, Christine, 1971-12-18, F, FECHTEN
Schwartz, Claudia, 1993-12-18, F, SCHWIMMEN
Sanger, Christina, 1994-12-18, F, RUDERN
Scherer, Christina, 1977-02-21, F, TANZEN
Schultheiss, Christin, 1918-05-22, F, SCHWIMMEN
Schroder, Christian, 1972-05-22, M, FECHTEN
Schreiner, Claudia, 1976-05-22, F, TURNEN
Schmitz, Christine, 1985-05-22, F, RADSPORT
Schultz, Christina, 1957-10-23, F, RUDERN
Schweizer, Claudia, 1971-10-23, F, FUSSBALL
Schroeder, Claudia, 1929-12-23, F, FECHTEN
Schmitt, Christin, 1918-01-26, F, REITEN
Shuster, Claudia, 1974-01-26, F, RUDERN
Seiler, Christina, 1943-03-27, F, TANZEN
Schneider, Christina, 1972-05-27, F, FECHTEN
Schwarz, Christian, 1932-09-28, M, TURNEN
Schroeder, Christin, 1955-09-28, F, SCHWIMMEN
Schiffer, Christin, 1991-09-28, F, TANZEN
Schweizer, Christina, 1993-10-28, F, SCHWIMMEN
Scholz, Dennis, 1961-02-02, M, SCHWIMMEN
Schulz, Dominik, 1947-03-02, M, FUSSBALL
Seiler, Dirk, 1994-03-02, M, FUSSBALL
Schuhmacher, Dominik, 1918-05-03, M, LEICHTATHLETIK
Schuster, Diana, 1926-07-03, F, RUDERN
Schneider, Dirk, 1929-07-03, M, RADSPORT
Schmid, Daniel, 1966-07-03, M, FECHTEN
Schaefer, Daniel, 1924-08-03, M, FECHTEN
Schneider, Daniel, 1959-08-03, M, FECHTEN
Schulz, Diana, 1985-08-03, F, FUSSBALL
Sanger, Diana, 1970-10-04, F, FUSSBALL
Schmidt, Dominik, 1966-12-04, M, FUSSBALL
Shuster, Doreen, 1969-12-04, F, FECHTEN
Schuhmacher, Diana, 1930-01-07, F, TURNEN
Schwartz, Dennis, 1989-01-07, M, TANZEN
Schwab, Daniela, 1947-05-08, F, FECHTEN
Seiler, Doreen, 1989-05-08, F, REITEN
Schroder, Daniel, 1974-06-08, M, REITEN
Schroeder, Daniela, 1992-06-08, F, TANZEN
Schuhmacher, Dennis, 1958-08-09, M, TURNEN
Schultz, Dieter, 1982-10-09, M, FECHTEN
Schweizer, Doreen, 1935-11-09, F, LEICHTATHLETIK
Schmitt, Diana, 1951-11-09, F, FECHTEN
Schwab, David, 1952-11-09, M, FUSSBALL
Schroeder, Daniela, 1995-11-09, F, FUSSBALL
Schaefer, Daniel, 1922-03-13, M, HANDBALL
Sanger, Dennis, 1920-04-13, M, REITEN
Sommer, Dieter, 1961-04-13, M, REITEN
Scholz, Dieter, 1998-04-13, M, LEICHTATHLETIK
Schweitzer, Dominik, 1946-08-14, M, TANZEN
Schreiber, Dominik, 1951-09-14, M, TURNEN
Schaefer, Dennis, 1951-11-15, M, FECHTEN
Schultz, David, 1958-11-15, M, TURNEN
Schmitz, Doreen, 1966-11-15, F, SCHWIMMEN
Schwab, Dominik, 1983-11-15, M, HANDBALL
Schweitzer, Daniel, 1928-01-18, M, FUSSBALL
Schultz, Dennis, 1988-02-18, M, REITEN
Schwartz, Doreen, 1997-02-18, F, TANZEN
Shuster, Dirk, 1950-06-19, M, RADSPORT
Sommer, Dennis, 1926-07-19, M, REITEN
Schneider, Daniela, 1990-07-19, F, RADSPORT
Schaefer, Daniela, 1928-09-20, F, RADSPORT
Sanger, Daniela, 1917-11-20, F, FECHTEN
Schweitzer, David, 1955-11-20, M, LEICHTATHLETIK
Sommer, Dirk, 1969-11-20, M, TURNEN
Schultz, Dennis, 1941-12-20, M, SCHWIMMEN
Schultheiss, Daniel, 1951-12-20, M, FECHTEN
Schultheiss, Doreen, 1926-04-24, F, FUSSBALL
Shuster, Daniel, 1935-04-24, M, REITEN
Strauss, Dennis, 1961-04-24, M, TURNEN
Schreiner, David, 1984-04-24, M, HANDBALL
Schroeder, Dennis, 1923-05-24, M, RADSPORT
Schroder, David, 1975-09-25, M, TURNEN
Schroeder, Doreen, 1994-09-25, F, TURNEN
Sommer, Diana, 1925-10-25, F, TANZEN
Schulz, Daniela, 1944-10-25, F, TURNEN
Schaefer, Daniela, 1958-10-25, F, REITEN
Schweizer, Dieter, 1962-10-25, M, REITEN
Schwarz, Dirk, 1966-10-25, M, RADSPORT
Sanger, Daniel, 1991-10-25, M, TANZEN
Schuster, Doreen, 1929-12-26, F, SCHWIMMEN
Sanger, Dennis, 1940-01-29, M, SCHWIMMEN
Saenger, Daniel, 1992-02-29, M, HANDBALL
Schreiber, Daniela, 1940-03-29, F, LEICHTATHLETIK
Strauss, Dieter, 1962-07-30, M, FUSSBALL
Schultz, Dirk, 1988-08-30, M, LEICHTATHLETIK
Schuhmacher, Daniela, 1996-08-30, F, SCHWIMMEN
Schwab, David, 1945-10-31, M, RUDERN
Schuhmacher, David, 1946-10-31, M, REITEN
Schwarz, David, 1956-10-31, M, FECHTEN
Schmitz, Doreen, 1958-10-31, F, TANZEN
Scherer, David, 1969-10-31, M, RUDERN
Saenger, Dirk, 1946-12-31, M, RUDERN
Scholz, Eric, 1991-04-05, M, TANZEN
Schuster, Eric, 1992-08-06, M, TURNEN
Schweitzer, Eric, 1934-09-06, M, TURNEN
Schuhmacher, Eric, 1944-09-06, M, TURNEN
Scherer, Erik, 1934-10-06, M, TANZEN
Schaefer, Erik, 1949-02-10, M, RADSPORT
Schulz, Eric, 1949-12-12, M, FECHTEN
Schuster, Erik, 1985-10-17, M, RADSPORT
Schroeder, Erik, 1936-02-21, M, TANZEN
Schulze, Erik, 1961-02-21, M, TURNEN
Seiler, Erik, 1955-07-22, M, TANZEN
Schiffer, Erik, 1928-01-26, M, TURNEN
Schuhmacher, Eric, 1995-05-27, M, FECHTEN
Schmid, Eric, 1918-12-28, M, SCHWIMMEN
Saenger, Frank, 1942-03-02, M, TANZEN
Schulz, Franziska, 1995-03-02, F, RADSPORT
Schroeder, Felix, 1994-08-03, M, RUDERN
Schiffer, Frank, 1978-01-07, M, RUDERN
Schultheiss, Frank, 1955-02-07, M, TURNEN
Schiffer, Florian, 1976-02-07, M, TURNEN
Schmidt, Frank, 1936-03-07, M, RUDERN
Sankt, Felix, 1941-06-08, M, RADSPORT
Saenger, Frank, 1969-07-08, M, TURNEN
Strauss, Franziska, 1953-12-09, F, RADSPORT
Saenger, Florian, 1979-12-09, M, SCHWIMMEN
Schweitzer, Franziska, 1947-01-12, F, TURNEN
Schiffer, Felix, 1942-04-13, M, LEICHTATHLETIK
Schreiber, Florian, 1980-04-13, M, LEICHTATHLETIK
Schweitzer, Florian, 1989-04-13, M, REITEN
Schweitzer, Franziska, 1935-09-14, F, HANDBALL
Seiler, Franziska, 1925-10-14, F, FECHTEN
Schmitt, Frank, 1988-03-18, M, FECHTEN
Schmitz, Florian, 1999-04-18, M, TURNEN
Strauss, Frank, 1990-02-23, M, TURNEN
Schuster, Frank, 1980-05-24, M, SCHWIMMEN
Schultz, Franziska, 1948-06-24, F, RUDERN
Schroeder, Florian, 1955-06-24, M, FUSSBALL
Schwarz, Florian, 1952-10-25, M, RUDERN
Schwarz, Felix, 1958-11-25, M, SCHWIMMEN
Schultz, Felix, 1944-03-29, M, HANDBALL
Schaefer, Frank, 1949-04-29, M, FUSSBALL
Schmitz, Florian, 1954-04-29, M, SCHWIMMEN
Schultz, Felix, 1969-08-30, M, REITEN
Sanger, Florian, 1983-09-30, M, RADSPORT
Schaefer, Gabriele, 1984-01-04, F, FUSSBALL
Schmidt, Gabriele, 1931-09-06, F, RADSPORT
Schreiner, Gabriele, 1965-09-06, F, REITEN
Schwartz, Gabriele, 1938-10-06, F, HANDBALL
Schroeder, Gabriele, 1981-10-06, F, SCHWIMMEN
Saenger, Gabriele, 1981-06-16, F, RUDERN
Saenger, Gabriele, 1973-11-17, F, TURNEN
Schwab, Gabriele, 1942-01-20, F, RADSPORT
Schmitt, Gabriele, 1924-04-21, F, FUSSBALL
Schuster, Gabriele, 1929-04-26, F, FECHTEN
Sankt, Heike, 1978-01-01, F, TURNEN
Schroeder, Heike, 1994-01-01, F, SCHWIMMEN
Scherer, Heike, 1935-11-03, F, LEICHTATHLETIK
Schroeder, Heike, 1942-08-08, F, REITEN
Schroeder, Heike, 1952-08-08, F, SCHWIMMEN
Schroder, Heike, 1954-06-13, F, HANDBALL
Sommer, Heike, 1996-06-13, F, RUDERN
Schulz, Heike, 1952-09-19, F, SCHWIMMEN
Seiler, Heike, 1979-09-19, F, FECHTEN
Saenger, Heike, 1963-03-23, F, HANDBALL
Schmid, Heike, 1919-12-25, F, FUSSBALL
Schaefer, Ines, 1984-09-11, F, FECHTEN
Shuster, Ines, 1955-07-16, F, RADSPORT
Schmidt, Ines, 1932-09-27, F, SCHWIMMEN
Schwarz, Jennifer, 1941-01-01, F, FUSSBALL
Schwab, Janina, 1963-01-01, F, LEICHTATHLETIK
Sanger, Janina, 1972-01-01, F, HANDBALL
Schwartz, Jonas, 1982-01-01, M, LEICHTATHLETIK
Scherer, Jens, 1992-01-01, M, TANZEN
Schwarz, Juliane, 1934-02-01, F, FECHTEN
Schweizer, Joerg, 1935-02-01, M, FECHTEN
Schneider, Janina, 1936-02-01, F, SCHWIMMEN
Sanger, Janina, 1954-02-01, F, TANZEN
Schroeder, Janina, 1959-02-01, F, REITEN
Schwab, Jennifer, 1976-02-01, F, FUSSBALL
Scherer, Johanna, 1930-03-01, F, FECHTEN
Schwartz, Juliane, 1932-03-01, F, TANZEN
Schroeder, Jessika, 1937-03-01, F, TANZEN
Schuster, Jan, 1928-07-02, M, FUSSBALL
Schmidt, Juergen, 1956-07-02, M, SCHWIMMEN
Schuster, Jonas, 1983-07-02, M, TURNEN
Schuhmacher, Johanna, 1990-07-02, F, TANZEN
Saenger, Jonas, 1996-07-02, M, TANZEN
Sanger, Jessica, 1917-08-02, F, LEICHTATHLETIK
Schroeder, Jessica, 1922-08-02, F, TANZEN
Sanger, Juergen, 1939-11-03, M, RADSPORT
Schwarz, Jens, 1967-11-03, M, LEICHTATHLETIK
Schmid, Juergen, 1971-11-03, M, HANDBALL
Schmidt, Janina, 1972-11-03, F, TURNEN
Schulze, Juliane, 1950-12-03, F, RUDERN
Schweizer, Jens, 1974-12-03, M, RADSPORT
Shuster, Juliane, 1978-12-03, F, RUDERN
Saenger, Jessika, 1990-12-03, F, SCHWIMMEN
Scholz, Johanna, 1934-01-06, F, RADSPORT
Schwarz, Julia, 1947-01-06, F, TURNEN
Schreiner, Jens, 1965-01-06, M, TANZEN
Schneider, Juergen, 1989-04-07, M, REITEN
Schwab, Jan, 1941-05-07, M, REITEN
Schreiner, Jana, 1962-05-07, F, FECHTEN
Schroeder, Jana, 1934-06-07, F, RUDERN
Schreiner, Jonas, 1940-06-07, M, FUSSBALL
Schreiner, Joerg, 1966-06-07, M, FECHTEN
Schweitzer, Janina, 1985-06-07, F, FUSSBALL
Schaefer, Johanna, 1993-06-07, F, REITEN
Schmid, Jessika, 1930-09-08, F, FUSSBALL
Scholz, Johanna, 1943-09-08, F, RADSPORT
Schwarz, Juliane, 1944-09-08, F, TURNEN
Sankt, Julia, 1946-09-08, F, LEICHTATHLETIK
Schwartz, Joerg, 1947-09-08, M, FUSSBALL
Schmid, Jonas, 1972-09-08, M, LEICHTATHLETIK
Schultheiss, Jessika, 1987-09-08, F, FECHTEN
Schreiner, Jessica, 1947-10-08, F, HANDBALL
Schiffer, Joerg, 1957-10-08, M, LEICHTATHLETIK
Sankt, Julia, 1920-11-08, F, RADSPORT
Schmitz, Julia, 1927-11-08, F, RUDERN
Schaefer, Johanna, 1938-11-08, F, LEICHTATHLETIK
Scherer, Jana, 1975-11-08, F, TANZEN
Schiffer, Jessica, 1926-02-12, F, REITEN
Sankt, Jan, 1931-03-12, M, TANZEN
Schuster, Jan, 1983-03-12, M, RUDERN
Shuster, Jan, 1946-04-12, M, LEICHTATHLETIK
Schaefer, Jessica, 1963-04-12, F, LEICHTATHLETIK
Schweitzer, Jonas, 1991-04-12, M, REITEN
Schwab, Julia, 1946-07-13, F, TANZEN
Schiffer, Janina, 1955-07-13, F, REITEN
Scherer, Juliane, 1988-07-13, F, FUSSBALL
Shuster, Jonas, 1997-07-13, M, RADSPORT
Saenger, Jessica, 1920-08-13, F, TURNEN
Schmitt, Jan, 1944-08-13, M, SCHWIMMEN
Schmitz, Jonas, 1956-08-13, M, TANZEN
Schwarz, Jessika, 1974-08-13, F, SCHWIMMEN
Schmid, Jana, 1918-09-13, F, REITEN
Scholz, Jonas, 1951-09-13, M, RUDERN
Schiffer, Jens, 1952-09-13, M, RUDERN
Shuster, Jens, 1964-09-13, M, REITEN
Seiler, Jessica, 1977-09-13, F, TANZEN
Schwartz, Jana, 1959-12-14, F, FUSSBALL
Schneider, Jens, 1991-12-14, M, REITEN
Schwartz, Jessica, 1968-01-17, F, TURNEN
Schroeder, Jonas, 1996-01-17, M, RUDERN
Schmid, Juliane, 1935-02-17, F, RUDERN
Schuhmacher, Jessica, 1979-02-17, F, TURNEN
Scholz, Juergen, 1935-05-18, M, FUSSBALL
Schroeder, Janina, 1969-05-18, F, RUDERN
Schroeder, Jens, 1920-06-18, M, RADSPORT
Sommer, Jana, 1953-06-18, F, FUSSBALL
Schneider, Juliane, 1956-07-18, F, REITEN
Strauss, Jennifer, 1970-07-18, F, RUDERN
Schwartz, Jens, 1973-07-18, M, LEICHTATHLETIK
Sanger, Johanna, 1984-07-18, F, HANDBALL
Schroeder, Joerg, 1932-10-19, M, SCHWIMMEN
Schultz, Jessica, 1949-10-19, F, FUSSBALL
Schmitt, Jens, 1944-11-19, M, FUSSBALL
Schuhmacher, Janina, 1966-11-19, F, TANZEN
Schroder, Juergen, 1967-11-19, M, TURNEN
Sommer, Jens, 1968-11-19, M, RADSPORT
Schuster, Julia, 1951-12-19, F, REITEN
Schaefer, Janina, 1957-12-19, F, FUSSBALL
Schwab, Jana, 1980-12-19, F, RUDERN
Schultz, Janina, 1984-12-19, F, RUDERN
Schmidt, Joerg, 1993-12-19, M, TURNEN
Schwarz, Jessica, 1930-03-23, F, TANZEN
Schaefer, Julia, 1920-04-23, F, FUSSBALL
Schweitzer, Jens, 1941-04-23, M, RUDERN
Sanger, Jessika, 1981-04-23, F, HANDBALL
Seiler, Jens, 1986-04-23, M, FECHTEN
Schroeder, Jana, 1988-04-23, F, REITEN
Schulze, Jonas, 1919-05-23, M, LEICHTATHLETIK
Schiffer, Juliane, 1932-05-23, F, REITEN
Schmitt, Joerg, 1939-05-23, M, SCHWIMMEN
Scherer, Jana, 1962-05-23, F, FUSSBALL
Schiffer, Joerg, 1982-05-23, M, TANZEN
Schmitt, Juergen, 1934-08-24, M, REITEN
Schmidt, Jonas, 1969-08-24, M, TANZEN
Schwartz, Juergen, 1995-08-24, M, SCHWIMMEN
Schiffer, Juergen, 1917-09-24, M, RUDERN
Schaefer, Janina, 1929-09-24, F, HANDBALL
Schroeder, Janina, 1959-09-24, F, RADSPORT
Schmitt, Jan, 1965-09-24, M, FUSSBALL
Schwab, Johanna, 1971-09-24, F, FECHTEN
Schultheiss, Jennifer, 1991-09-24, F, REITEN
Strauss, Jonas, 1932-10-24, M, REITEN
Schulz, Jennifer, 1933-10-24, F, FECHTEN
Schroder, Jan, 1969-10-24, M, LEICHTATHLETIK
Schroeder, Johanna, 1975-10-24, F, FUSSBALL
Schmitt, Johanna, 1985-10-24, F, FECHTEN
Schwartz, Jana, 1966-01-28, F, FECHTEN
Schmid, Janina, 1970-01-28, F, HANDBALL
Schreiner, Jessika, 1975-01-28, F, FECHTEN
Scherer, Janina, 1978-02-28, F, LEICHTATHLETIK
Sanger, Julia, 1992-02-28, F, FUSSBALL
Schuster, Jan, 1923-03-28, M, SCHWIMMEN
Schwarz, Jennifer, 1933-03-28, F, SCHWIMMEN
Schreiner, Jessica, 1960-03-28, F, RUDERN
Schulz, Jennifer, 1985-06-29, F, FECHTEN
Schroder, Jan, 1925-07-29, M, TANZEN
Schwartz, Jens, 1967-07-29, M, HANDBALL
Sankt, Jan, 1989-07-29, M, HANDBALL
Schultz, Juergen, 1932-08-29, M, RADSPORT
Schreiber, Jennifer, 1933-08-29, F, HANDBALL
Sanger, Juergen, 1940-08-29, M, LEICHTATHLETIK
Schuhmacher, Juliane, 1941-08-29, F, FUSSBALL
Sommer, Julia, 1952-08-29, F, RADSPORT
Schmid, Jens, 1956-08-29, M, RADSPORT
Saenger, Jana, 1996-08-29, F, HANDBALL
Sankt, Juergen, 1946-11-30, M, LEICHTATHLETIK
Shuster, Jonas, 1955-11-30, M, RUDERN
Scherer, Jan, 1957-11-30, M, RADSPORT
Schiffer, Jana, 1971-11-30, F, SCHWIMMEN
Schwarz, Jessika, 1950-12-30, F, REITEN
Schuhmacher, Kristian, 1920-03-04, M, HANDBALL
Schaefer, Kristin, 1952-03-04, F, TANZEN
Schneider, Katja, 1955-03-04, F, FECHTEN
Schneider, Klaudia, 1924-04-04, F, LEICHTATHLETIK
Schreiber, Katja, 1946-04-04, F, TANZEN
Schiffer, Kevin, 1972-04-04, M, RADSPORT
Schmitz, Katrin, 1981-04-04, F, TANZEN
Schwarz, Katja, 1921-05-04, F, FECHTEN
